timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11419139.045947308,82.58171470463276,113,0.6,99.6,100.0,19349.25,232.947,144165053064.0
11419139.547968373,83.08373576961458,114,0.6,101.6,98.0,19349.25,230.957,144165165640.0
11419140.061719144,83.59748654067516,115,0.6,101.2,99.0,19349.25,230.043,144165279890.0
11419140.569722213,84.10548960976303,115,0.6,102.4,100.0,19349.25,235.155,144165417043.0
11419141.0720188,84.60778619721532,116,1.0,101.5,100.0,19349.25,235.629,144165533686.0
11419141.579351667,85.11511906422675,117,1.0,100.6,98.0,19349.25,230.427,144165646424.0
11419142.08233382,85.61810121685266,117,1.1,99.4,100.0,19349.25,232.727,144165761438.0
11419142.584305884,86.12007328122854,118,1.1,101.6,100.0,19349.25,233.439,144165873517.0
11419143.086298956,86.62206635251641,119,1.0,99.6,98.0,19349.25,232.284,144165987988.0
11419143.588298852,87.12406624853611,119,1.1,101.5,99.0,19349.25,235.226,144166102856.0
11419144.091819191,87.62758658826351,120,1.1,99.4,100.0,19349.25,232.164,144166210956.0
11419144.598551027,88.13431842438877,121,1.1,102.6,100.0,19349.25,230.18,144166325507.0
11419145.101790832,88.6375582292676,122,1.1,101.4,100.0,19349.25,231.724,144166438755.0
11419145.606262892,89.14203028939664,122,1.1,101.1,100.0,19349.25,231.764,144166550610.0
11419146.108405149,89.64417254552245,123,1.0,99.6,99.0,19349.25,229.958,144166663848.0
11419146.610598635,90.14636603184044,124,1.0,99.6,98.0,19349.25,230.514,144166769840.0
11419147.1303667,90.66613409668207,124,1.1,103.9,100.0,19349.25,232.41,144166885933.0
11419147.637148617,91.17291601374745,125,1.1,102.6,100.0,19349.25,229.772,144167000288.0
11419148.140590155,91.67635755240917,126,1.1,101.3,99.0,19349.25,231.42,144167114073.0
11419148.64260612,92.17837351746857,126,1.0,99.6,100.0,19349.25,232.609,144167230793.0
11419149.144634834,92.68040223047137,127,1.1,99.6,100.0,19349.25,231.396,144167341029.0
11419149.64666154,93.18242893740535,128,1.0,99.5,98.0,19349.25,232.208,144167453098.0
11419150.149194872,93.68496226891875,128,1.1,103.5,100.0,19349.25,232.903,144167565930.0
11419150.656409808,94.1921772044152,129,1.1,98.6,100.0,19349.25,236.102,144167682043.0
11419151.15944686,94.69521425664425,130,1.1,101.4,98.0,19349.25,232.984,144167795936.0
11419151.66172026,95.19748765602708,131,1.1,101.5,100.0,19349.25,234.565,144167910249.0
11419152.169526504,95.70529390126467,131,1.1,100.4,100.0,19349.25,232.072,144168044919.0
11419152.676989892,96.21275728940964,132,1.1,102.4,99.0,19349.25,229.797,144168158432.0
11419153.179293064,96.71506046131253,133,1.0,99.6,98.0,19349.25,230.356,144168270624.0
11419153.682247994,97.2180153913796,133,1.1,101.4,100.0,19349.25,232.794,144168386843.0
11419154.18433927,97.72010666690767,134,1.2,101.6,99.0,19349.25,232.608,144168497923.0
11419154.686633747,98.222401143983,135,0.8,99.5,99.0,19349.25,232.376,144168613294.0
11419155.189397236,98.72516463324428,135,0.6,99.5,100.0,19349.25,234.039,144168725911.0
11419155.695146443,99.23091384023428,136,0.6,102.8,100.0,19349.25,234.012,144168838564.0
11419156.198117796,99.73388519324362,137,0.6,99.4,98.0,19349.25,229.914,144168951446.0
